sample	name	type	depth
P28309_1050	bf3	fracture	1268
P28309_1051	bf4	fracture	1270
P28309_1052	bf5	fracture	1311
P28309_1053	bf8	fracture	1537
P28309_1054	bf12	fracture	1605
P28309_1055	bf13	fracture	1608
P28309_1056	bf17	fracture	1669
P28309_1042	mp3	fluid	1268
P28309_1043	mp5	fluid	1311
P28309_1044	mp8	fluid	1537
P28309_1046	mp12	fluid	1605
P28309_1047	mp13	fluid	1608
P28309_1048	mp17	fluid	1669
P28309_1049	mpc	control	nc
P28309_1057	bf_c2	control	nc
